#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingBuild, unmerging, unmergingBuild, computeTime
 121, 195, 4.38629E-4, 3.5185E-5, 2.16774E-4, 0.0, 2.141E-5, 7.6222E-5, 4.028E-6, 0.0, 4.999E-6, 0.0, 9.40384E-4
 121, 229, 4.96597E-4, 4.1668E-5, 2.9478E-4, 0.0, 2.141E-5, 7.6222E-5, 4.398E-6, 0.0, 5.671E-6, 0.0, 0.001189219
 121, 232, 4.6554900000000005E-4, 4.5294E-5, 2.70225E-4, 0.0, 2.141E-5, 7.6222E-5, 4.278E-6, 0.0, 6.211E-6, 0.0, 0.001108519
 121, 271, 4.7965500000000006E-4, 5.3029E-5, 3.0930700000000004E-4, 0.0, 2.141E-5, 7.6222E-5, 4.378E-6, 0.0, 6.552E-6, 0.0, 0.001188197
 121, 271, 4.67612E-4, 5.0054E-5, 3.22441E-4, 0.0, 2.141E-5, 7.6222E-5, 4.588E-6, 0.0, 5.189E-6, 0.0, 0.001181144
 121, 264, 7.812180000000001E-4, 7.5852E-5, 5.67509E-4, 0.0, 2.141E-5, 7.6222E-5, 5.029E-6, 0.0, 7.554E-6, 0.0, 0.001990404
 121, 271, 5.02498E-4, 5.1747E-5, 3.03496E-4, 0.0, 2.141E-5, 7.6222E-5, 3.606E-6, 0.0, 6.443E-6, 0.0, 0.001217302
 121, 273, 4.73303E-4, 5.5053E-5, 3.12834E-4, 0.0, 2.141E-5, 7.6222E-5, 3.737E-6, 0.0, 5.74E-6, 0.0, 0.001201783
 119, 275, 5.53733E-4, 7.6242E-5, 3.5216800000000003E-4, 0.0, 2.141E-5, 7.6222E-5, 4.4202E-5, 3.8411E-5, 7.214E-6, 0.0, 0.001487436
 119, 266, 4.95936E-4, 5.7678E-5, 2.92686E-4, 1.07911E-4, 2.2622E-5, 7.9709E-5, 3.597E-6, 0.0, 6.121E-6, 6.1E-8, 0.001288264
 119, 264, 5.71456E-4, 6.0292E-5, 3.2574700000000004E-4, 1.21496E-4, 2.6639E-5, 8.879600000000001E-5, 3.146E-6, 0.0, 7.484E-6, 6.999999999999999E-8, 0.001450086
 119, 264, 5.38575E-4, 5.6525E-5, 3.36748E-4, 1.36575E-4, 2.3774000000000003E-5, 1.06569E-4, 3.266E-6, 0.0, 6.492E-6, 8.1E-8, 0.001442382
 119, 265, 4.93611E-4, 5.1726E-5, 2.88799E-4, 1.02151E-4, 2.0388000000000002E-5, 7.629200000000001E-5, 2.955E-6, 0.0, 5.921E-6, 1.71E-7, 0.001262556
 119, 265, 5.00705E-4, 5.2749E-5, 2.9163400000000003E-4, 1.1525500000000001E-4, 2.2532E-5, 8.6431E-5, 3.096E-6, 0.0, 6.743E-6, 1.3999999999999998E-7, 0.001300487
 119, 265, 4.89403E-4, 5.3039E-5, 2.9555200000000003E-4, 1.05877E-4, 2.1951E-5, 7.832600000000001E-5, 3.236E-6, 0.0, 6.933E-6, 1.51E-7, 0.001302631
 119, 261, 5.338560000000001E-4, 5.4261E-5, 3.3290100000000003E-4, 1.1561600000000001E-4, 2.3494000000000002E-5, 8.563E-5, 3.456E-6, 0.0, 6.202E-6, 6.999999999999999E-8, 0.001398329
 119, 264, 4.8248000000000003E-4, 4.8912E-5, 2.8399E-4, 1.30413E-4, 4.808E-5, 7.634200000000001E-5, 3.086E-6, 0.0, 5.771E-6, 5.1E-8, 0.001288695
 119, 266, 8.049820000000001E-4, 6.2327E-5, 5.130180000000001E-4, 1.67082E-4, 3.3001000000000005E-5, 1.26356E-4, 3.577E-6, 0.0, 8.446E-6, 1.0E-7, 0.002109006
 119, 266, 4.8126800000000003E-4, 4.9994E-5, 2.85824E-4, 1.02842E-4, 2.2271E-5, 7.526000000000001E-5, 2.986E-6, 0.0, 5.801E-6, 6.999999999999999E-8, 0.001256465
 119, 267, 4.8271100000000003E-4, 5.4291E-5, 2.9887800000000003E-4, 1.06669E-4, 2.2422E-5, 7.877800000000001E-5, 3.446E-6, 0.0, 6.512E-6, 6.0E-8, 0.001278145
 119, 266, 7.783520000000001E-4, 7.0051E-5, 5.20942E-4, 2.11344E-4, 3.4094E-5, 1.6818400000000001E-4, 4.268E-6, 0.0, 9.248E-6, 2.0E-7, 0.002168086
 119, 270, 5.472610000000001E-4, 5.346E-5, 4.20706E-4, 1.13382E-4, 2.2622E-5, 8.471800000000001E-5, 4.769E-6, 0.0, 6.101E-6, 6.999999999999999E-8, 0.001493136
 119, 266, 4.92149E-4, 5.1085E-5, 2.8684500000000004E-4, 1.03023E-4, 2.1340000000000002E-5, 7.6723E-5, 2.955E-6, 0.0, 6.172E-6, 6.000000000000001E-8, 0.001306368
 119, 264, 8.582010000000001E-4, 6.6524E-5, 5.81014E-4, 1.68164E-4, 3.3923E-5, 1.26155E-4, 4.518E-6, 0.0, 8.105E-6, 1.0099999999999999E-7, 0.0022077
 119, 262, 4.77972E-4, 5.4712E-5, 2.8064400000000003E-4, 9.965600000000001E-5, 2.129E-5, 7.3107E-5, 3.687E-6, 0.0, 5.771E-6, 5.0E-8, 0.001245324
 119, 255, 4.80717E-4, 5.389E-5, 3.3175900000000005E-4, 1.1704900000000001E-4, 2.5037E-5, 8.588000000000001E-5, 3.567E-6, 0.0, 6.101E-6, 6.999999999999999E-8, 0.001349949
 119, 252, 4.996520000000001E-4, 4.6477E-5, 2.8017300000000004E-4, 1.0044800000000001E-4, 2.2001E-5, 7.309700000000001E-5, 3.907E-6, 0.0, 5.992E-6, 6.000000000000001E-8, 0.0012649
 119, 270, 6.21701E-4, 8.4517E-5, 5.2539E-4, 1.95235E-4, 3.5245E-5, 1.4996E-4, 5.861E-6, 0.0, 1.3034E-5, 1.0E-7, 0.002019839
 121, 322, 5.017460000000001E-4, 6.1304E-5, 3.63288E-4, 1.57755E-4, 5.7788E-5, 9.4196E-5, 6.762E-6, 0.0, 2.4045E-5, 1.6691E-5, 0.001555512
 121, 474, 5.72018E-4, 7.3647E-5, 5.730490000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 8.306E-6, 0.0, 6.422E-6, 0.0, 0.001783859
 121, 691, 6.72735E-4, 1.02341E-4, 8.615680000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.048E-5, 0.0, 6.281E-6, 0.0, 0.002399207
 121, 684, 8.891890000000001E-4, 1.86508E-4, 0.001347555, 0.0, 5.7788E-5, 9.4196E-5, 1.4908E-5, 0.0, 1.0529E-5, 0.0, 0.003552831
 121, 673, 6.392430000000001E-4, 1.23621E-4, 8.366420000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.0559E-5, 0.0, 5.52E-6, 0.0, 0.002377677
 121, 664, 6.38291E-4, 1.19834E-4, 8.43113E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.1201E-5, 0.0, 5.861E-6, 0.0, 0.002362148
 121, 661, 6.50725E-4, 1.22168E-4, 8.545450000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.0219E-5, 0.0, 5.591E-6, 0.0, 0.002368981
 121, 653, 6.55513E-4, 1.25794E-4, 8.48724E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.4597E-5, 0.0, 5.971E-6, 0.0, 0.002421138
 121, 635, 6.49603E-4, 1.24061E-4, 8.412700000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.0429E-5, 0.0, 5.951E-6, 0.0, 0.002334316
 121, 595, 6.14837E-4, 1.37547E-4, 7.51813E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.0509E-5, 0.0, 6.583E-6, 0.0, 0.002173456
 121, 550, 8.38375E-4, 1.42115E-4, 9.733970000000001E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.3886E-5, 0.0, 1.4888E-5, 0.0, 0.002928886
 121, 514, 5.76275E-4, 8.4077E-5, 6.14928E-4, 0.0, 5.7788E-5, 9.4196E-5, 1.0599E-5, 0.0, 5.36E-6, 0.0, 0.001872515
 120, 500, 6.310780000000001E-4, 8.4528E-5, 6.04138E-4, 0.0, 5.7788E-5, 9.4196E-5, 4.0285E-5, 2.9004E-5, 6.562E-6, 0.0, 0.001946482
 119, 493, 5.93698E-4, 7.5722E-5, 5.90562E-4, 2.3790400000000002E-4, 8.9337E-5, 1.42556E-4, 3.5115E-5, 2.3955E-5, 5.861E-6, 1.3E-7, 0.002098556
 120, 479, 7.01869E-4, 7.4869E-5, 5.568400000000001E-4, 2.35941E-4, 8.779400000000001E-5, 1.41123E-4, 9.178E-6, 0.0, 3.777E-5, 3.1007E-5, 0.00225072
 119, 484, 5.76035E-4, 7.5842E-5, 5.95041E-4, 2.2972900000000002E-4, 8.5369E-5, 1.38168E-4, 6.478E-5, 5.1967E-5, 1.9517E-5, 1.3385E-5, 0.002092956
 114, 483, 8.74001E-4, 8.2454E-5, 5.493560000000001E-4, 2.3074100000000002E-4, 8.5209E-5, 1.3939100000000002E-4, 6.5682E-5, 5.1677E-5, 6.382E-6, 1.8E-7, 0.00236342
 112, 475, 5.6786E-4, 7.8457E-5, 5.6797E-4, 2.4096000000000002E-4, 8.7574E-5, 1.43327E-4, 4.1257E-5, 2.9616000000000002E-5, 2.4516E-5, 1.3897E-5, 0.002044826
 114, 470, 6.119820000000001E-4, 7.5801E-5, 5.44506E-4, 2.53443E-4, 8.577E-5, 1.5636100000000002E-4, 3.9884E-5, 2.8614E-5, 5.5914E-5, 4.5675000000000006E-5, 0.00211094
 114, 463, 9.88725E-4, 1.0202E-4, 9.14326E-4, 4.10476E-4, 1.48567E-4, 2.45308E-4, 5.9861E-5, 4.1017000000000004E-5, 4.3722E-5, 2.8682999999999996E-5, 0.003376922
 111, 471, 5.8378E-4, 8.593E-5, 5.389160000000001E-4, 2.5156E-4, 8.625100000000001E-5, 1.54338E-4, 5.6846E-5, 4.3722E-5, 2.4646E-5, 1.4166E-5, 0.002081293
 109, 465, 5.65615E-4, 7.9328E-5, 5.34618E-4, 2.47381E-4, 8.8065E-5, 1.46524E-4, 4.4934E-5, 3.2912E-5, 4.1387E-5, 3.101900000000001E-5, 0.002046089
 114, 470, 8.191390000000001E-4, 1.4456E-4, 7.7705E-4, 4.26035E-4, 1.2388200000000002E-4, 2.73681E-4, 4.4242E-5, 2.7381E-5, 7.6803E-5, 4.3318999999999996E-5, 0.003076732
 113, 475, 5.800120000000001E-4, 8.1502E-5, 5.549050000000001E-4, 2.4771200000000003E-4, 8.508900000000001E-5, 1.52274E-4, 4.6868E-5, 3.0026E-5, 5.8519E-5, 4.7258E-5, 0.002104657
 105, 477, 5.926260000000001E-4, 8.1151E-5, 6.100890000000001E-4, 2.55116E-4, 8.9938E-5, 1.52855E-4, 8.1523E-5, 6.6303E-5, 2.8754E-5, 1.7793E-5, 0.002216135
 107, 476, 5.77438E-4, 7.5972E-5, 5.90703E-4, 2.59094E-4, 9.0159E-5, 1.5241400000000002E-4, 3.3392E-5, 2.2542E-5, 5.1276E-5, 3.914499999999999E-5, 0.002125006
 112, 502, 6.01823E-4, 7.1574E-5, 5.932870000000001E-4, 2.8920000000000004E-4, 1.21497E-4, 1.5246400000000002E-4, 4.5344E-5, 3.222E-5, 7.3066E-5, 6.0402E-5, 0.002249248
 113, 495, 5.86825E-4, 8.3546E-5, 6.005510000000001E-4, 2.57661E-4, 9.081E-5, 1.53627E-4, 4.3611E-5, 3.1779E-5, 3.762E-5, 2.6599E-5, 0.002204294
 113, 491, 8.02878E-4, 9.7893E-5, 8.25972E-4, 3.6812700000000005E-4, 1.25814E-4, 2.22816E-4, 6.0042E-5, 3.9675E-5, 4.0095E-5, 2.6851000000000004E-5, 0.00303881
 114, 509, 5.90772E-4, 8.1973E-5, 5.964830000000001E-4, 2.5748000000000004E-4, 8.942700000000001E-5, 1.55871E-4, 6.1255E-5, 4.4403E-5, 5.5142E-5, 4.4572E-5, 0.00219146
 113, 519, 6.007310000000001E-4, 8.3966E-5, 6.034360000000001E-4, 2.52972E-4, 9.1421E-5, 1.50851E-4, 4.7359E-5, 3.5177E-5, 2.2291E-5, 1.2814E-5, 0.002193954
 111, 538, 6.7526E-4, 9.118E-5, 7.21616E-4, 3.04258E-4, 1.08011E-4, 1.8212E-4, 5.9882E-5, 4.4614000000000003E-5, 2.9374E-5, 1.8534000000000002E-5, 0.002543166
 110, 551, 6.13726E-4, 9.0358E-5, 6.303060000000001E-4, 2.6734800000000004E-4, 9.2612E-5, 1.6116E-4, 5.7958E-5, 4.4854E-5, 2.8793E-5, 1.8495E-5, 0.002297648
 110, 572, 6.02234E-4, 8.8415E-5, 6.740580000000001E-4, 3.1707100000000004E-4, 1.0203000000000001E-4, 1.8790000000000001E-4, 3.9334E-5, 2.7381E-5, 4.0956E-5, 3.0245999999999998E-5, 0.002381264
 107, 576, 8.27715E-4, 1.20646E-4, 9.817320000000001E-4, 4.02812E-4, 1.33619E-4, 2.3462800000000002E-4, 1.08112E-4, 8.8195E-5, 1.3495E-5, 3.4099999999999994E-7, 0.003409182
 108, 569, 5.86124E-4, 8.7754E-5, 7.14233E-4, 3.00621E-4, 9.2342E-5, 1.76409E-4, 4.2319E-5, 2.9775000000000002E-5, 6.7927E-5, 5.568199999999999E-5, 0.002418703
 108, 564, 5.957110000000001E-4, 8.7684E-5, 6.90279E-4, 3.0385700000000004E-4, 9.655E-5, 1.7563800000000001E-4, 3.9794E-5, 2.7241E-5, 6.5743E-5, 5.4371999999999994E-5, 0.002418203
 109, 572, 6.911E-4, 9.7491E-5, 7.959460000000001E-4, 3.47528E-4, 1.1080700000000001E-4, 2.02417E-4, 8.6361E-5, 6.6985E-5, 7.3657E-5, 5.8218E-5, 0.002874284
 110, 573, 6.07063E-4, 8.5971E-5, 6.76753E-4, 3.0319600000000004E-4, 9.7923E-5, 1.76379E-4, 1.0199E-5, 0.0, 4.7619E-5, 3.6217E-5, 0.002381033
 111, 579, 8.19299E-4, 1.17029E-4, 0.001103079, 4.41594E-4, 1.38288E-4, 2.59554E-4, 6.5662E-5, 4.4795E-5, 7.5691E-5, 5.9822000000000004E-5, 0.003560294
 108, 568, 6.003E-4, 8.8645E-5, 6.817520000000001E-4, 2.97235E-4, 9.4566E-5, 1.7376500000000001E-4, 5.5243E-5, 3.9504E-5, 2.3153E-5, 1.2482999999999999E-5, 0.002413955
 105, 561, 6.04217E-4, 8.568E-5, 6.68287E-4, 3.0675200000000003E-4, 9.762200000000001E-5, 1.7680000000000001E-4, 8.1522E-5, 6.7115E-5, 2.5608E-5, 1.3624999999999999E-5, 0.002401151
 102, 551, 5.862840000000001E-4, 7.9899E-5, 6.451440000000001E-4, 2.99348E-4, 9.7552E-5, 1.72131E-4, 8.1252E-5, 6.5673E-5, 7.3968E-5, 5.9332E-5, 0.002387806
 100, 533, 5.64874E-4, 7.9087E-5, 6.310370000000001E-4, 3.0152200000000003E-4, 9.770200000000001E-5, 1.72652E-4, 9.1832E-5, 7.6926E-5, 3.5817E-5, 2.3384000000000002E-5, 0.002303899
 86, 523, 5.598350000000001E-4, 7.9278E-5, 5.8391E-4, 2.80674E-4, 9.336400000000001E-5, 1.57033E-4, 1.53486E-4, 1.33837E-4, 2.5277E-5, 1.4316999999999999E-5, 0.002289663
 82, 481, 5.05083E-4, 6.7376E-5, 5.532120000000001E-4, 3.10239E-4, 9.943500000000001E-5, 1.7007800000000002E-4, 1.62674E-4, 1.4739500000000003E-4, 4.9722E-5, 3.4936000000000006E-5, 0.002181561
 79, 435, 6.42248E-4, 8.4228E-5, 7.78984E-4, 4.2416100000000005E-4, 1.27829E-4, 2.3495900000000003E-4, 6.9028E-5, 5.3299999999999995E-5, 4.1929E-5, 2.5788000000000004E-5, 0.002792592
 73, 427, 4.6133100000000005E-4, 6.2427E-5, 4.89293E-4, 3.1082E-4, 9.759200000000001E-5, 1.69447E-4, 1.14523E-4, 1.0131799999999998E-4, 3.4284E-5, 2.0829E-5, 0.001948386
