#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingBuild, unmerging, unmergingBuild, computeTime
 136, 524, 0.003132095, 0.001316808, 0.004049237000000001, 0.0, 0.0, 0.0, 5.01E-7, 0.0, 6.6414E-5, 0.0, 0.01240514
 136, 525, 0.0017354680000000002, 5.11495E-4, 0.0040673210000000005, 0.0, 0.0, 0.0, 5.21E-7, 0.0, 7.7124E-5, 0.0, 0.007853957
 136, 492, 0.001972151, 5.70725E-4, 0.0043003650000000004, 0.0, 0.0, 0.0, 6.21E-7, 0.0, 4.1979E-5, 0.0, 0.00865958
 136, 426, 0.001841256, 4.94252E-4, 0.003743025, 0.0, 0.0, 0.0, 4.81E-7, 0.0, 4.293E-5, 0.0, 0.00757679
 136, 376, 0.001440227, 4.57063E-4, 0.0033878220000000004, 0.0, 0.0, 0.0, 4.61E-7, 0.0, 5.3469E-5, 0.0, 0.006629442
 136, 344, 0.006616838000000001, 3.40736E-4, 0.0033223000000000003, 0.0, 0.0, 0.0, 6.92E-7, 0.0, 4.4082E-5, 0.0, 0.011670329
 136, 335, 0.001079825, 3.88636E-4, 0.0029515780000000003, 0.0, 0.0, 0.0, 7.81E-7, 0.0, 5.4783E-5, 0.0, 0.005804031
 136, 329, 9.89958E-4, 5.79551E-4, 0.005503761, 0.0, 0.0, 0.0, 1.032E-6, 0.0, 7.2646E-5, 0.0, 0.008937959
 136, 313, 6.66784E-4, 2.60086E-4, 0.004465043, 0.0, 0.0, 0.0, 1.61722E-4, 0.0, 4.264E-5, 0.0, 0.006829806
 136, 314, 7.28219E-4, 2.36992E-4, 0.0038727270000000003, 0.0, 0.0, 0.0, 7.42E-7, 0.0, 3.781E-5, 0.0, 0.006041785
 136, 308, 8.467800000000001E-4, 2.42703E-4, 0.0014515390000000002, 0.0, 0.0, 0.0, 7.12E-7, 0.0, 5.7908E-5, 0.0, 0.003725473
 136, 304, 6.338730000000001E-4, 2.84481E-4, 0.0016411120000000001, 0.0, 0.0, 0.0, 1.332E-6, 0.0, 4.255E-5, 0.0, 0.003959049
 136, 291, 7.981300000000001E-4, 2.26172E-4, 8.309410000000001E-4, 0.0, 0.0, 0.0, 8.72E-7, 0.0, 4.1407E-5, 0.0, 0.002985402
 136, 296, 9.003E-4, 3.7496E-4, 9.138550000000001E-4, 0.0, 0.0, 0.0, 7.01E-7, 0.0, 7.6844E-5, 0.0, 0.003504279
 136, 298, 8.585620000000001E-4, 3.61034E-4, 0.001315475, 0.0, 0.0, 0.0, 9.22E-7, 0.0, 7.2215E-5, 0.0, 0.003968686
 136, 305, 7.125300000000001E-4, 4.11738E-4, 0.001353566, 0.0, 0.0, 0.0, 1.232E-6, 0.0, 6.2187E-5, 0.0, 0.004003922
