#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 8, 0, 3.2500000000000004E-5, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65E-5, 0.0, 0.0, 0.0, 0.0, 1.175E-4
 8, 0, 3.1700000000000005E-5, 6.0E-7, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7500000000000002E-5, 0.0, 0.0, 0.0, 0.0, 1.23E-4
 8, 0, 4.0E-5, 6.0E-7, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69E-5, 0.0, 0.0, 0.0, 0.0, 1.41E-4
 8, 0, 3.26E-5, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75E-5, 0.0, 0.0, 0.0, 0.0, 1.052E-4
 8, 0, 3.61E-5, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.79E-5, 0.0, 0.0, 0.0, 0.0, 1.423E-4
 8, 0, 2.9E-5, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63E-5, 0.0, 0.0, 0.0, 0.0, 9.65E-5
 8, 0, 3.63E-5, 9.0E-7, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61E-5, 0.0, 0.0, 0.0, 0.0, 1.152E-4
 8, 0, 4.7900000000000006E-5, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 2.48E-5, 0.0, 0.0, 0.0, 0.0, 1.538E-4
 8, 0, 4.69E-5, 6.0E-7, 0.0, 0.0, 0.0, 0.0, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1E-5, 0.0, 0.0, 0.0, 0.0, 1.737E-4
 8, 0, 3.62E-5, 1.0E-6, 0.0, 0.0, 0.0, 0.0, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.99E-5, 0.0, 0.0, 0.0, 0.0, 1.414E-4
 8, 0, 3.04E-5, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67E-5, 0.0, 0.0, 0.0, 0.0, 1.254E-4
