#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 136, 1543, 9.906000000000001E-4, 9.954E-4, 0.2481856, 0.0, 2.076E-4, 0.0012596, 8.61E-5, 0.0, 0.0, 2.6400000000000052E-5, 0.0, 0.0, 3.12E-5, 0.0, 0.0, 0.0, 0.0, 0.2532139
 74, 900, 0.0016441000000000001, 0.0016807, 0.28880710000000004, 0.0, 2.076E-4, 0.0012596, 0.0080632, 6.079999999999997E-5, 1.46E-5, 1.8600000000000008E-5, 3.5999999999999973E-6, 0.0021551999999999995, 6.89E-5, 0.0, 0.0, 0.0, 0.0, 0.3050062
 74, 895, 9.065000000000001E-4, 0.0010715, 0.1587957, 0.0013683, 2.224E-4, 9.007E-4, 3.49E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3759999999999998E-4, 0.0, 0.0, 0.0, 1.0E-6, 0.1644324
 65, 782, 8.387000000000001E-4, 9.013E-4, 0.151145, 0.0012559000000000001, 2.1590000000000002E-4, 7.869000000000001E-4, 0.0012773, 8.899999999999998E-6, 3.5E-6, 2.6000000000000005E-6, 4.0E-7, 5.778E-4, 8.83E-5, 0.0, 0.0, 0.0, 1.1E-6, 0.1572861
 65, 792, 7.767000000000001E-4, 7.643E-4, 0.13480640000000002, 0.0014868000000000001, 2.945E-4, 9.122000000000001E-4, 3.66E-5, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 1.022E-4, 0.0, 0.0, 0.0, 1.1E-6, 0.1396993
 60, 727, 7.212000000000001E-4, 6.47E-4, 0.1530579, 0.0017082000000000002, 2.8680000000000003E-4, 0.0011018, 6.735E-4, 6.0E-6, 1.5999999999999997E-6, 2.8000000000000003E-6, 3.0E-7, 3.443E-4, 1.151E-4, 0.0, 0.0, 0.0, 1.5E-6, 0.1585268
 60, 732, 7.594E-4, 5.067E-4, 0.12195210000000001, 0.0014327, 1.9830000000000002E-4, 9.435000000000001E-4, 2.89E-5, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 1.044E-4, 0.0, 0.0, 0.0, 1.0E-6, 0.1261273
 58, 708, 7.718E-4, 5.692E-4, 0.1457698, 0.0015196, 2.2040000000000002E-4, 8.94E-4, 3.128E-4, 4.2999999999999995E-6, 7.0E-7, 1.6E-6, 1.0E-7, 1.503E-4, 1.0949999999999999E-4, 0.0, 0.0, 0.0, 1.4E-6, 0.1505759
 57, 696, 7.599000000000001E-4, 6.167E-4, 0.140181, 0.0016408000000000002, 2.333E-4, 9.305E-4, 1.855E-4, 3.0E-6, 9.0E-7, 4.0E-7, 1.0E-7, 8.86E-5, 1.191E-4, 0.0, 0.0, 0.0, 1.4E-6, 0.1449055
 56, 684, 6.249000000000001E-4, 5.108E-4, 0.11582680000000001, 0.0014974, 1.963E-4, 0.0010523000000000002, 2.128E-4, 3.5E-6, 1.0E-6, 5.0E-7, 2.0E-7, 9.21E-5, 1.143E-4, 0.0, 0.0, 0.0, 1.0E-6, 0.1200941
