#bodies, #contacts, contact detection, warmstart, full LCP solve, single iteration PGS, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
327,3796,0.0016942,5.75E-04,0.0626188,0,6.58E-05,9.98E-04,2.91E-05,0,0,0,0,0,5.60E-06,0,0,0,0,0.0702178
327,3796,0.0017098,7.87E-04,0.0685855,0,6.58E-05,9.98E-04,2.92E-05,0,0,0,0,0,5.80E-06,0,0,0,0,0.0764446
327,3796,0.0015216,7.54E-04,0.069093,0,6.58E-05,9.98E-04,2.91E-05,0,0,0,0,0,5.50E-06,0,0,0,0,0.0770122
327,3796,0.0015278,7.94E-04,0.0671775,0,6.58E-05,9.98E-04,2.91E-05,0,0,0,0,0,6.00E-06,0,0,0,0,0.0749929
327,3796,0.0015307,5.77E-04,0.0616628,0,6.58E-05,9.98E-04,2.96E-05,0,0,0,0,0,6.00E-06,0,0,0,0,0.0690409
327,3796,0.0014836,5.82E-04,0.0623686,0,6.58E-05,9.98E-04,2.86E-05,0,0,0,0,0,5.70E-06,0,0,0,0,0.0696242
327,3796,0.0017072,5.70E-04,0.0624684,0,6.58E-05,9.98E-04,2.85E-05,0,0,0,0,0,5.50E-06,0,0,0,0,0.0698839
327,3796,0.001528,6.31E-04,0.0622605,0,6.58E-05,9.98E-04,2.87E-05,0,0,0,0,0,2.17E-05,0,0,0,0,0.0695212
327,3796,0.001542,8.16E-04,0.0622778,0,6.58E-05,9.98E-04,2.82E-05,0,0,0,0,0,5.90E-06,0,0,0,0,0.0701445
327,3796,0.0015207,5.76E-04,0.0625096,0,6.58E-05,9.98E-04,4.78E-05,0,0,0,0,0,5.90E-06,0,0,0,0,0.0697877
327,3796,0.0014873,5.72E-04,0.0631837,0,6.58E-05,9.98E-04,2.89E-05,0,0,0,0,0,6.30E-06,0,0,0,0,0.0704021
327,3796,0.0015088,6.26E-04,0.0620346,0,6.58E-05,9.98E-04,2.90E-05,0,0,0,0,0,8.10E-06,0,0,0,0,0.0697181
327,3796,0.0014828,5.78E-04,0.0618447,0,6.58E-05,9.98E-04,4.91E-05,0,0,0,0,0,5.80E-06,0,0,0,0,0.0689706
327,3796,0.0014935,5.77E-04,0.0628496,0,6.58E-05,9.98E-04,2.85E-05,0,0,0,0,0,5.70E-06,0,0,0,0,0.0700974
327,3796,0.0017728,6.10E-04,0.0623904,0,6.58E-05,9.98E-04,2.84E-05,0,0,0,0,0,6.10E-06,0,0,0,0,0.0698076
327,3796,0.0016055,6.39E-04,0.0625721,0,6.58E-05,9.98E-04,2.85E-05,0,0,0,0,0,6.10E-06,0,0,0,0,0.0700603
326,3790,0.0016781,7.56E-04,0.0703956,0,6.58E-05,9.98E-04,3.31E-04,1.50E-05,5.50E-06,0,2.00E-07,1.46E-04,5.90E-06,0,0,0,0,0.0788082
287,3494,0.0016566,9.75E-04,0.0650882,0.0014614,9.40E-05,0.0013224,0.0066026,1.12E-05,2.45E-05,3.40E-06,5.00E-07,8.12E-04,7.80E-06,0,0,0,2.00E-07,0.0811406
274,3323,0.00149,6.68E-04,0.0624384,0.0012856,7.89E-05,0.0010994,0.0037244,2.26E-05,9.20E-06,1.20E-06,4.00E-07,6.23E-04,3.50E-04,0,0,1.00E-07,3.03E-04,0.0747159
266,3238,0.0013482,6.47E-04,0.0589257,0.0013884,8.16E-05,0.0011842,0.0017508,2.30E-06,6.50E-06,8.00E-07,2.00E-07,2.65E-04,0.0019507,0,0,3.00E-07,0.0019109,0.0702734
261,3170,0.0014197,6.56E-04,0.0589043,0.0013525,7.95E-05,0.0011436,0.0011162,1.70E-06,6.00E-06,5.00E-07,1.00E-07,2.18E-04,0.0024161,0,0,3.00E-07,0.0023866,0.0700959
260,3154,0.0013408,6.66E-04,0.0576842,0.0014208,8.17E-05,0.0011329,1.80E-04,6.00E-07,3.10E-06,1.00E-07,1.00E-07,4.73E-05,0.0012273,0,0,1.00E-07,0.0011914,0.0666232
258,3142,0.0013204,6.58E-04,0.0564239,0.0013323,8.03E-05,0.001115,2.95E-04,8.00E-07,1.30E-06,5.00E-07,1.00E-07,6.82E-05,0.0017891,0,0,1.00E-07,0.0017585,0.0656667
