#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
136,561,4.30E-04,2.29E-04,0.0120846,0,1.73E-04,0.0033801,8.60E-06,0,0,0,0,0,3.10E-06,0,0,0,0,0.0135649
136,549,0.0017744,2.60E-04,0.0113426,0,1.73E-04,0.0033801,5.90E-06,0,0,0,0,0,5.50E-06,0,0,0,0,0.0142858
136,460,6.83E-04,1.18E-04,0.0103472,0,1.73E-04,0.0033801,6.10E-06,0,0,0,0,0,3.00E-06,0,0,0,0,0.0118001
136,379,4.83E-04,1.06E-04,0.0080699,0,1.73E-04,0.0033801,6.00E-06,0,0,0,0,0,3.80E-06,0,0,0,0,0.0092483
136,326,4.70E-04,9.47E-05,0.0071573,0,1.73E-04,0.0033801,6.50E-06,0,0,0,0,0,3.30E-06,0,0,0,0,0.0082636
136,280,5.18E-04,7.59E-05,0.005875,0,1.73E-04,0.0033801,6.00E-06,0,0,1.00E-07,0,0,3.40E-06,0,0,0,0,0.0069784
136,278,4.57E-04,6.36E-05,0.0066083,0,1.73E-04,0.0033801,7.00E-06,0,0,0,0,0,3.70E-06,0,0,0,0,0.007722
136,273,4.56E-04,7.55E-05,0.0058967,0,1.73E-04,0.0033801,7.00E-06,0,0,1.00E-07,0,0,3.60E-06,0,0,0,0,0.0070281
136,265,4.57E-04,9.85E-05,0.0064702,0,1.73E-04,0.0033801,7.80E-06,0,0,0,0,0,3.80E-06,0,0,0,0,0.0075585
136,279,9.71E-04,1.06E-04,0.0164813,0,1.73E-04,0.0033801,2.05E-05,0,0,4.00E-07,0,0,6.10E-06,0,0,0,0,0.0188116
136,273,0.0014825,7.36E-05,0.008516,0,1.73E-04,0.0033801,1.02E-05,0,0,2.00E-07,0,0,4.40E-06,0,0,0,0,0.0107626
136,270,4.43E-04,5.29E-05,0.0051265,0,1.73E-04,0.0033801,7.80E-06,0,0,1.00E-07,0,0,3.20E-06,0,0,0,0,0.006048
136,280,4.44E-04,5.09E-05,0.0053696,0,1.73E-04,0.0033801,7.90E-06,0,0,2.00E-07,0,0,3.10E-06,0,0,0,0,0.0063012
136,276,4.19E-04,6.42E-05,0.0060841,0,1.73E-04,0.0033801,8.30E-06,0,0,1.00E-07,0,0,3.20E-06,0,0,0,0,0.0071099
136,295,4.29E-04,6.47E-05,0.006957,0,1.73E-04,0.0033801,9.00E-06,0,0,1.00E-07,0,0,3.90E-06,0,0,0,0,0.0079694
136,275,4.48E-04,5.93E-05,0.0065116,0,1.73E-04,0.0033801,8.90E-06,0,0,1.00E-07,0,0,3.10E-06,0,0,0,0,0.0075004
136,295,8.73E-04,1.08E-04,0.0141241,0,1.73E-04,0.0033801,1.39E-05,0,0,3.00E-07,0,0,6.30E-06,0,0,0,0,0.016415
136,276,3.35E-04,6.65E-05,0.007565,0,1.73E-04,0.0033801,1.00E-05,0,0,3.00E-07,0,0,3.40E-06,0,0,0,0,0.0085535
136,287,5.67E-04,1.03E-04,0.0076597,0,1.73E-04,0.0033801,9.30E-06,0,0,0,0,0,5.50E-06,0,0,0,0,0.0090982
136,282,3.76E-04,6.33E-05,0.0069028,0,1.73E-04,0.0033801,1.02E-05,0,0,3.00E-07,0,0,3.40E-06,0,0,0,0,0.0078977
136,291,7.24E-04,6.96E-05,0.0075905,0,1.73E-04,0.0033801,1.05E-05,0,0,2.00E-07,0,0,3.60E-06,0,0,0,0,0.0089397
136,285,5.03E-04,8.36E-05,0.0079668,0,1.73E-04,0.0033801,9.80E-06,0,0,2.00E-07,0,0,3.70E-06,0,0,0,0,0.0092309
136,297,4.43E-04,8.04E-05,0.0068895,0,1.73E-04,0.0033801,9.40E-06,0,0,4.00E-07,0,0,3.00E-06,0,0,0,0,0.0079241
136,287,4.43E-04,7.10E-05,0.0065045,0,1.73E-04,0.0033801,9.20E-06,0,0,2.00E-07,0,0,4.10E-06,0,0,0,0,0.0075376
136,284,8.86E-04,8.25E-05,0.0090627,0,1.73E-04,0.0033801,9.40E-06,0,0,3.00E-07,0,0,2.90E-06,0,0,0,0,0.0113406
136,274,4.13E-04,5.79E-05,0.0059708,0,1.73E-04,0.0033801,9.00E-06,0,0,3.00E-07,0,0,3.10E-06,0,0,0,0,0.0069092
136,274,3.71E-04,5.44E-05,0.005305,0,1.73E-04,0.0033801,9.40E-06,0,0,3.00E-07,0,0,3.50E-06,0,0,0,0,0.0062206
136,281,2.72E-04,6.71E-05,0.0063184,0,1.73E-04,0.0033801,1.20E-05,0,0,7.00E-07,0,0,3.50E-06,0,0,0,0,0.0072583
136,298,2.98E-04,5.82E-05,0.0060662,0,1.73E-04,0.0033801,1.01E-05,0,0,8.00E-07,0,0,4.00E-06,0,0,0,0,0.0069311
136,283,0.0013183,7.79E-05,0.0063608,0,1.73E-04,0.0033801,1.22E-05,0,0,5.00E-07,0,0,4.50E-06,0,0,0,0,0.0087928
136,289,6.72E-04,8.98E-05,0.0119358,0,1.73E-04,0.0033801,1.75E-05,0,0,1.00E-06,0,0,5.10E-06,0,0,0,0,0.0135499
136,296,8.16E-04,8.72E-05,0.0083954,0,1.73E-04,0.0033801,1.16E-05,0,0,5.00E-07,0,0,3.70E-06,0,0,0,0,0.0099697
136,298,0.0014806,9.42E-05,0.0103413,0,1.73E-04,0.0033801,1.27E-05,0,0,3.00E-07,0,0,5.40E-06,0,0,0,0,0.0126969
136,294,4.64E-04,7.85E-05,0.0072516,0,1.73E-04,0.0033801,1.07E-05,0,0,6.00E-07,0,0,3.30E-06,0,0,0,0,0.0084658
136,294,4.80E-04,8.92E-05,0.0074872,0,1.73E-04,0.0033801,1.08E-05,0,0,3.00E-07,0,0,4.00E-06,0,0,0,0,0.0086324
136,288,4.34E-04,6.97E-05,0.0061008,0,1.73E-04,0.0033801,1.04E-05,0,0,2.00E-07,0,0,3.50E-06,0,0,0,0,0.0071515
136,290,4.99E-04,7.46E-05,0.0063349,0,1.73E-04,0.0033801,1.10E-05,0,0,3.00E-07,0,0,4.90E-06,0,0,0,0,0.0075069
136,294,4.63E-04,8.59E-05,0.0069737,0,1.73E-04,0.0033801,1.17E-05,0,0,5.00E-07,0,0,3.30E-06,0,0,0,0,0.0082315
136,290,0.0011529,1.07E-04,0.0104706,0,1.73E-04,0.0033801,1.20E-05,0,0,6.00E-07,0,0,7.60E-06,0,0,0,0,0.0126262
136,307,4.53E-04,7.82E-05,0.007501,0,1.73E-04,0.0033801,1.57E-05,0,0,4.00E-07,0,0,4.10E-06,0,0,0,0,0.0088368
136,293,5.61E-04,1.04E-04,0.0067578,0,1.73E-04,0.0033801,1.17E-05,0,0,6.00E-07,0,0,4.10E-06,0,0,0,0,0.0080915
136,301,3.20E-04,6.57E-05,0.0079668,0,1.73E-04,0.0033801,1.12E-05,0,0,2.00E-07,0,0,3.70E-06,0,0,0,0,0.0090428
136,298,3.17E-04,6.92E-05,0.0066008,0,1.73E-04,0.0033801,1.06E-05,0,0,5.00E-07,0,0,3.60E-06,0,0,0,0,0.0075264
136,303,7.02E-04,1.08E-04,0.0179935,0,1.73E-04,0.0033801,2.64E-05,0,0,1.40E-06,0,0,6.10E-06,0,0,0,0,0.0199611
