#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 4, 0, 1.34E-5, 8.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 2.0E-6, 0.0, 0.0, 0.0, 0.0, 3.14E-5
 4, 0, 1.02E-5, 6.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 2.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.4000000000000001E-6, 0.0, 0.0, 0.0, 0.0, 2.12E-5
 4, 0, 1.18E-5, 6.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 2.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.4E-6, 0.0, 0.0, 0.0, 0.0, 2.4E-5
 4, 0, 1.25E-5, 6.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.5E-6, 0.0, 0.0, 0.0, 0.0, 2.84E-5
 4, 0, 1.3700000000000001E-5, 8.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.5E-6, 0.0, 0.0, 0.0, 0.0, 2.99E-5
 5, 0, 1.4200000000000001E-5, 6.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.6E-6, 0.0, 0.0, 0.0, 0.0, 2.84E-5
 5, 0, 1.52E-5, 7.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.9E-6, 0.0, 0.0, 0.0, 0.0, 3.28E-5
 5, 0, 1.56E-5, 7.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 2.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.9E-6, 0.0, 0.0, 0.0, 0.0, 3.28E-5
 5, 0, 1.04E-5, 9.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 3.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.4E-6, 0.0, 0.0, 0.0, 0.0, 2.37E-5
 5, 0, 7.6E-6, 4.0E-7, 0.0, 0.0, 4.1150000000000003E-4, 0.0049728, 1.0E-7, 3.299999999999998E-6, 1.1899999999999996E-5, 4.530000000000009E-5, 2.3999999999999986E-6, 0.0064559, 1.2E-6, 0.0, 0.0, 0.0, 0.0, 1.63E-5
