#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 136, 1543, 0.0011196000000000001, 5.495E-4, 0.2358694, 0.0, 0.0, 0.0, 2.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.61E-5, 0.0, 0.0, 0.0, 0.0, 0.2405325
 136, 1548, 0.0010059000000000001, 5.374E-4, 0.24700740000000002, 0.0, 0.0, 0.0, 2.6E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9999999999999996E-5, 0.0, 0.0, 0.0, 0.0, 0.2514429
 136, 1543, 0.0011426000000000001, 6.065E-4, 0.25530220000000003, 0.0, 0.0, 0.0, 2.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.73E-5, 0.0, 0.0, 0.0, 0.0, 0.2603225
 136, 1538, 0.0011596, 7.847E-4, 0.2389522, 0.0, 0.0, 0.0, 2.4E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0E-5, 0.0, 0.0, 0.0, 0.0, 0.244317
 136, 1543, 9.943E-4, 6.075E-4, 0.30036090000000004, 0.0, 0.0, 0.0, 2.7E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 7.69E-5, 0.0, 0.0, 0.0, 0.0, 0.3049688
 136, 1548, 8.981000000000001E-4, 4.95E-4, 0.27941730000000004, 0.0, 0.0, 0.0, 3.5E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4E-5, 0.0, 0.0, 0.0, 0.0, 0.283478
 136, 1548, 0.0013526, 6.49E-4, 0.2731691, 0.0, 0.0, 0.0, 2.0E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 5.12E-5, 0.0, 0.0, 0.0, 0.0, 0.2785873
 136, 1548, 0.0011455, 6.334E-4, 0.26810700000000004, 0.0, 0.0, 0.0, 2.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.76E-5, 0.0, 0.0, 0.0, 0.0, 0.2729288
 136, 1548, 0.0012421, 6.302E-4, 0.2712143, 0.0, 0.0, 0.0, 2.4E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9200000000000004E-5, 0.0, 0.0, 0.0, 0.0, 0.2761585
 136, 1548, 0.0012467000000000001, 5.699E-4, 0.233356, 0.0, 0.0, 0.0, 2.2E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.66E-5, 0.0, 0.0, 0.0, 0.0, 0.2379035
 136, 1548, 0.0013013, 6.965E-4, 0.2789438, 0.0, 0.0, 0.0, 2.7E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 7.450000000000001E-5, 0.0, 0.0, 0.0, 0.0, 0.2843925
 136, 1548, 0.001734, 5.552E-4, 0.2740128, 0.0, 0.0, 0.0, 2.2E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 5.63E-5, 0.0, 0.0, 0.0, 0.0, 0.2794261
 136, 1548, 0.0016417, 5.69E-4, 0.2773203, 0.0, 0.0, 0.0, 2.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8499999999999994E-5, 0.0, 0.0, 0.0, 0.0, 0.2826934
 136, 1548, 0.0011526000000000002, 7.812E-4, 0.3174322, 0.0, 0.0, 0.0, 2.1E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.12E-5, 0.0, 0.0, 0.0, 0.0, 0.3227158
 136, 1548, 9.063000000000001E-4, 5.116E-4, 0.2606278, 0.0, 0.0, 0.0, 2.5E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.44E-5, 0.0, 0.0, 0.0, 0.0, 0.2645436
 136, 1548, 0.0013881000000000002, 6.868E-4, 0.3318083, 0.0, 0.0, 0.0, 2.2E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.55E-5, 0.0, 0.0, 0.0, 0.0, 0.3369058
 136, 1548, 0.0015817000000000001, 9.08E-4, 0.39186560000000004, 0.0, 0.0, 0.0, 3.2E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.431E-4, 0.0, 0.0, 0.0, 0.0, 0.3986976
 136, 1548, 0.0014651, 5.292E-4, 0.38836400000000004, 0.0, 0.0, 0.0, 3.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.056E-4, 0.0, 0.0, 0.0, 0.0, 0.393708
 136, 1548, 0.0015519000000000002, 8.118E-4, 0.48779180000000005, 0.0, 0.0, 0.0, 3.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.96E-5, 0.0, 0.0, 0.0, 0.0, 0.4940166
 136, 1548, 0.0020124, 0.001237, 0.5787533, 0.0, 0.0, 0.0, 6.3E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4800000000000002E-4, 0.0, 0.0, 0.0, 0.0, 0.5871848
 136, 1548, 0.0025423, 0.0010189, 0.7445323, 0.0, 0.0, 0.0, 7.8E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 9.43E-5, 0.0, 0.0, 0.0, 0.0, 0.7548877
 136, 1548, 0.002439, 9.495E-4, 0.3908745, 0.0, 0.0, 0.0, 2.8E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 7.18E-5, 0.0, 0.0, 0.0, 0.0, 0.3999709
 136, 1548, 0.0017318000000000001, 7.804E-4, 0.3447141, 0.0, 0.0, 0.0, 3.5E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 8.520000000000001E-5, 0.0, 0.0, 0.0, 0.0, 0.3522159
 136, 1548, 0.0017551, 8.554E-4, 0.3739941, 0.0, 0.0, 0.0, 4.0E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 9.3E-5, 0.0, 0.0, 0.0, 0.0, 0.3814983
 136, 1548, 0.0013944, 5.179E-4, 0.35892240000000003, 0.0, 0.0, 0.0, 3.6E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 6.32E-5, 0.0, 0.0, 0.0, 0.0, 0.3645096
