#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 118, 299, 0.0029605, 2.037E-4, 0.014941900000000001, 0.0, 0.0, 0.0, 4.57E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.81E-5, 0.0, 0.0, 0.0, 0.0, 0.0197423
 118, 427, 0.0014651, 3.105E-4, 0.010808400000000001, 0.0, 0.0, 0.0, 6.12E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3800000000000003E-5, 0.0, 0.0, 0.0, 0.0, 0.0141628
 118, 591, 0.0012179, 3.051E-4, 0.016805200000000003, 0.0, 0.0, 0.0, 4.45E-5, 0.0, 0.0, 6.0E-7, 0.0, 0.0, 3.4E-5, 0.0, 0.0, 0.0, 0.0, 0.0195888
 118, 563, 0.0047237, 4.198E-4, 0.011715900000000001, 0.0, 0.0, 0.0, 3.22E-5, 0.0, 0.0, 1.6E-6, 0.0, 0.0, 4.63E-5, 0.0, 0.0, 0.0, 0.0, 0.018111
 118, 557, 0.0016205000000000002, 4.034E-4, 0.0101417, 0.0, 0.0, 0.0, 2.08E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.98E-5, 0.0, 0.0, 0.0, 0.0, 0.0131615
 118, 557, 0.001079, 4.414E-4, 0.011182600000000001, 0.0, 0.0, 0.0, 2.76E-5, 0.0, 0.0, 8.0E-7, 0.0, 0.0, 2.05E-5, 0.0, 0.0, 0.0, 0.0, 0.013764
 118, 560, 0.0013519, 2.502E-4, 0.0108283, 0.0, 0.0, 0.0, 3.5E-5, 0.0, 0.0, 2.4E-6, 0.0, 0.0, 2.0E-5, 0.0, 0.0, 0.0, 0.0, 0.0134702
 118, 562, 0.0011175, 2.693E-4, 0.0109735, 0.0, 0.0, 0.0, 3.14E-5, 0.0, 0.0, 1.2999999999999998E-6, 0.0, 0.0, 2.8499999999999998E-5, 0.0, 0.0, 0.0, 0.0, 0.0134656
 118, 566, 6.911E-4, 2.871E-4, 0.0128836, 0.0, 0.0, 0.0, 3.28E-5, 0.0, 0.0, 1.7999999999999993E-6, 0.0, 0.0, 1.94E-5, 0.0, 0.0, 0.0, 0.0, 0.0148696
 118, 571, 7.423000000000001E-4, 2.494E-4, 0.0128307, 0.0, 0.0, 0.0, 3.39E-5, 0.0, 0.0, 1.4999999999999996E-6, 0.0, 0.0, 1.9200000000000003E-5, 0.0, 0.0, 0.0, 0.0, 0.0147818
 118, 572, 6.961000000000001E-4, 2.83E-4, 0.0120313, 0.0, 0.0, 0.0, 3.56E-5, 0.0, 0.0, 1.999999999999999E-6, 0.0, 0.0, 3.77E-5, 0.0, 0.0, 0.0, 0.0, 0.0140451
 118, 572, 6.619E-4, 2.616E-4, 0.0116705, 0.0, 0.0, 0.0, 3.64E-5, 0.0, 0.0, 2.3999999999999986E-6, 0.0, 0.0, 2.11E-5, 0.0, 0.0, 0.0, 0.0, 0.0134576
 118, 572, 6.062E-4, 2.437E-4, 0.011334100000000001, 0.0, 0.0, 0.0, 3.53E-5, 0.0, 0.0, 2.4999999999999985E-6, 0.0, 0.0, 1.98E-5, 0.0, 0.0, 0.0, 0.0, 0.0130734
 118, 572, 6.001E-4, 2.554E-4, 0.0111883, 0.0, 0.0, 0.0, 3.47E-5, 0.0, 0.0, 2.4999999999999985E-6, 0.0, 0.0, 1.95E-5, 0.0, 0.0, 0.0, 0.0, 0.0128647
 118, 572, 6.448000000000001E-4, 2.419E-4, 0.0116279, 0.0, 0.0, 0.0, 3.56E-5, 0.0, 0.0, 3.899999999999998E-6, 0.0, 0.0, 5.74E-5, 0.0, 0.0, 0.0, 0.0, 0.0135606
 118, 572, 5.377E-4, 2.363E-4, 0.011367, 0.0, 0.0, 0.0, 3.4E-5, 0.0, 0.0, 1.999999999999999E-6, 0.0, 0.0, 1.9900000000000003E-5, 0.0, 0.0, 0.0, 0.0, 0.0129797
 118, 572, 4.944E-4, 2.39E-4, 0.0117137, 0.0, 0.0, 0.0, 3.74E-5, 0.0, 0.0, 2.3999999999999986E-6, 0.0, 0.0, 2.09E-5, 0.0, 0.0, 0.0, 0.0, 0.0133001
 118, 572, 5.202000000000001E-4, 2.708E-4, 0.0126227, 0.0, 0.0, 0.0, 3.86E-5, 0.0, 0.0, 3.199999999999998E-6, 0.0, 0.0, 2.0E-5, 0.0, 0.0, 0.0, 0.0, 0.0142598
 118, 571, 7.198E-4, 2.945E-4, 0.015193900000000002, 0.0, 0.0, 0.0, 5.33E-5, 0.0, 0.0, 3.299999999999998E-6, 0.0, 0.0, 2.56E-5, 0.0, 0.0, 0.0, 0.0, 0.0172096
 117, 569, 6.142000000000001E-4, 2.585E-4, 0.0146703, 0.0, 0.0, 0.0, 6.708E-4, 1.0E-5, 6.0E-7, 3.399999999999998E-6, 3.0E-7, 4.368E-4, 4.05E-5, 0.0, 0.0, 0.0, 0.0, 0.0171347
 117, 567, 0.0023932000000000003, 3.155E-4, 0.0197278, 0.0018515, 1.573E-4, 0.0015872000000000002, 3.24E-5, 0.0, 0.0, 2.5999999999999984E-6, 0.0, 0.0, 4.78E-5, 0.0, 0.0, 0.0, 2.7E-6, 0.0266147
