#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingBuild, unmerging, unmergingBuild, computeTime
 136, 474, 4.02261E-4, 9.4516E-5, 7.226390000000001E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 8.015E-6, 0.0, 6.812E-6, 0.0, 0.004167296
 136, 358, 5.407890000000001E-4, 1.07471E-4, 6.83746E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.095E-5, 0.0, 6.492E-6, 0.0, 0.004663101
 136, 361, 4.2782800000000005E-4, 6.9841E-5, 6.945860000000001E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.0579E-5, 0.0, 6.763E-6, 0.0, 0.003918201
 136, 353, 3.36979E-4, 5.7738E-5, 4.29832E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 6.071E-6, 0.0, 5.19E-6, 0.0, 0.002723021
 136, 327, 4.98911E-4, 8.6542E-5, 6.68237E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 9.818E-6, 0.0, 8.476E-6, 0.0, 0.004302427
 136, 291, 4.985300000000001E-4, 8.7703E-5, 6.017430000000001E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.04E-5, 0.0, 8.215E-6, 0.0, 0.004096443
 136, 267, 3.28813E-4, 6.2045E-5, 3.63418E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 7.604E-6, 0.0, 6.543E-6, 0.0, 0.002707062
 136, 270, 4.99592E-4, 7.1293E-5, 5.312310000000001E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.0529E-5, 0.0, 8.737E-6, 0.0, 0.003801534
 136, 236, 5.40959E-4, 6.0222E-5, 5.02798E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.1731E-5, 0.0, 8.035E-6, 0.0, 0.003766418
 136, 215, 3.10079E-4, 4.792E-5, 2.89801E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 6.873E-6, 0.0, 6.322E-6, 0.0, 0.002266439
 136, 217, 4.6088000000000005E-4, 5.7367E-5, 4.2315900000000005E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 9.498E-6, 0.0, 7.895E-6, 0.0, 0.003226761
 136, 214, 3.10349E-4, 3.9523E-5, 2.86674E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 7.474E-6, 0.0, 5.55E-6, 0.0, 0.002198693
 136, 210, 4.4545100000000003E-4, 5.1937E-5, 4.11588E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 1.0079E-5, 0.0, 7.645E-6, 0.0, 0.003082873
 135, 200, 4.53637E-4, 4.9362E-5, 4.1404200000000004E-4, 0.0, 5.4542E-5, 4.3597400000000005E-4, 2.9264E-5, 1.618E-5, 7.574E-6, 0.0, 0.003093572
 135, 194, 4.5257500000000004E-4, 4.9422E-5, 3.8617E-4, 1.5453800000000002E-4, 3.9564E-5, 1.0763000000000001E-4, 1.089E-5, 0.0, 8.516E-6, 1.61E-7, 0.003129429
 135, 192, 3.0730300000000004E-4, 3.5767E-5, 2.5713E-4, 1.02651E-4, 2.5157000000000003E-5, 7.116200000000001E-5, 7.715E-6, 0.0, 6.151E-6, 1.31E-7, 0.002154139
 135, 198, 4.5635200000000004E-4, 5.5244E-5, 3.8981700000000004E-4, 1.55019E-4, 3.753E-5, 1.0948400000000001E-4, 1.039E-5, 0.0, 8.957E-6, 1.5E-7, 0.003202155
 135, 192, 5.12617E-4, 5.4953E-5, 3.81232E-4, 1.56622E-4, 3.8832000000000004E-5, 1.09765E-4, 1.3745E-5, 0.0, 8.766E-6, 1.6E-7, 0.003309655
 135, 200, 3.07233E-4, 4.1448E-5, 2.6395300000000004E-4, 1.07941E-4, 2.7982E-5, 7.3527E-5, 7.664E-6, 0.0, 6.622E-6, 1.3E-7, 0.002167163
