#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingBuild, unmerging, unmergingBuild, computeTime
 136, 599, 4.930210000000001E-4, 2.53583E-4, 0.0012055610000000002, 0.0, 5.2688E-5, 6.1074E-4, 1.6401E-5, 0.0, 8.336E-6, 0.0, 0.003162877
 136, 577, 7.143840000000001E-4, 1.79295E-4, 0.0017191700000000001, 0.0, 5.2688E-5, 6.1074E-4, 1.1792E-5, 0.0, 9.317E-6, 0.0, 0.003963922
 136, 520, 6.51166E-4, 2.07527E-4, 0.001545116, 0.0, 5.2688E-5, 6.1074E-4, 1.1511E-5, 0.0, 1.3876E-5, 0.0, 0.003923026
 136, 414, 4.3001300000000003E-4, 1.00247E-4, 6.86662E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.0269E-5, 0.0, 6.232E-6, 0.0, 0.002062521
 136, 403, 4.2175700000000003E-4, 8.0129E-5, 6.35827E-4, 0.0, 5.2688E-5, 6.1074E-4, 9.508E-6, 0.0, 5.801E-6, 0.0, 0.001930995
 136, 365, 5.87908E-4, 1.05527E-4, 8.034510000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.3686E-5, 0.0, 8.105E-6, 0.0, 0.002526809
 136, 373, 4.22159E-4, 7.8176E-5, 5.70416E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.0589E-5, 0.0, 6.633E-6, 0.0, 0.001840617
 136, 382, 4.4534100000000003E-4, 8.9978E-5, 5.91735E-4, 0.0, 5.2688E-5, 6.1074E-4, 2.4105E-5, 0.0, 8.787E-6, 0.0, 0.001976021
 136, 406, 7.013690000000001E-4, 1.17329E-4, 9.1031E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.5239E-5, 0.0, 9.849E-6, 0.0, 0.002946793
 136, 368, 6.262E-4, 9.3634E-5, 8.438660000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.5739E-5, 0.0, 8.305E-6, 0.0, 0.002657823
 136, 370, 6.365390000000001E-4, 8.9778E-5, 8.207020000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.5108E-5, 0.0, 8.696E-6, 0.0, 0.002600546
 136, 361, 5.94701E-4, 8.3987E-5, 7.960170000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.4257E-5, 0.0, 8.155E-6, 0.0, 0.002472035
 136, 361, 4.1697900000000005E-4, 6.0763E-5, 8.327850000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 2.3895E-5, 0.0, 6.222E-6, 0.0, 0.00212547
 136, 355, 5.125980000000001E-4, 8.4608E-5, 8.269340000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.5599E-5, 0.0, 1.0199E-5, 0.0, 0.00250083
 136, 348, 6.581190000000001E-4, 8.2544E-5, 7.794950000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.6611E-5, 0.0, 8.316E-6, 0.0, 0.002520496
 136, 349, 6.28925E-4, 8.5108E-5, 7.893240000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.6291E-5, 0.0, 8.436E-6, 0.0, 0.002510959
 136, 330, 4.5962900000000003E-4, 5.8068E-5, 5.034200000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.1631E-5, 0.0, 6.202E-6, 0.0, 0.001692381
 136, 327, 5.98978E-4, 7.5521E-5, 7.08363E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.605E-5, 0.0, 8.396E-6, 0.0, 0.002337024
 136, 321, 6.28374E-4, 7.1744E-5, 6.833060000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.7593E-5, 0.0, 7.604E-6, 0.0, 0.002383961
 136, 318, 4.04645E-4, 5.7898E-5, 4.67402E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.0991E-5, 0.0, 5.921E-6, 0.0, 0.001582875
 136, 327, 5.816570000000001E-4, 7.8987E-5, 7.0688E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.8525E-5, 0.0, 8.676E-6, 0.0, 0.002354327
 136, 328, 5.823880000000001E-4, 7.5151E-5, 7.382490000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.6601E-5, 0.0, 8.396E-6, 0.0, 0.002326395
 136, 334, 4.35514E-4, 6.6054E-5, 4.91177E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.3485E-5, 0.0, 7.083E-6, 0.0, 0.001744066
 136, 331, 4.14494E-4, 9.1761E-5, 8.179670000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.8415E-5, 0.0, 9.228E-6, 0.0, 0.002161375
 136, 335, 6.09468E-4, 8.1021E-5, 7.99943E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.9546E-5, 0.0, 8.106E-6, 0.0, 0.002461747
 136, 329, 3.8994800000000004E-4, 5.7397E-5, 4.77852E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.3004E-5, 0.0, 5.42E-6, 0.0, 0.001576474
 136, 327, 5.65005E-4, 6.7626E-5, 6.67947E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.7022E-5, 0.0, 7.434E-6, 0.0, 0.002221107
 136, 314, 5.420220000000001E-4, 7.1484E-5, 6.63018E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.6321E-5, 0.0, 7.605E-6, 0.0, 0.002167197
 136, 321, 3.9942600000000003E-4, 8.4067E-5, 4.6202300000000005E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.2754E-5, 0.0, 1.0219E-5, 0.0, 0.001622109
 136, 315, 5.65376E-4, 7.8166E-5, 6.70332E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.7813E-5, 0.0, 8.917E-6, 0.0, 0.002239964
 136, 307, 5.82107E-4, 6.6104E-5, 6.409170000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 7.5451E-5, 0.0, 7.824E-6, 0.0, 0.002229784
 136, 286, 5.247800000000001E-4, 6.9369E-5, 5.90723E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.6721E-5, 0.0, 7.895E-6, 0.0, 0.002029519
 136, 294, 5.842610000000001E-4, 6.1946E-5, 6.052000000000001E-4, 0.0, 5.2688E-5, 6.1074E-4, 1.7022E-5, 0.0, 7.313E-6, 0.0, 0.002107756
