#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 4, 0, 9.9E-6, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.99E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 9.01E-7, 0.0, 0.0, 0.0, 0.0, 2.6399E-5
 4, 0, 7.3E-6, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 1.7E-5
 4, 0, 6.301E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 1.38E-5
 4, 0, 7.7E-6, 2.01E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 1.9399E-5
 4, 0, 1.0700000000000001E-5, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 9.99E-7, 0.0, 0.0, 0.0, 0.0, 2.59E-5
 5, 0, 1.4200000000000001E-5, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0E-7, 0.0, 0.0, 0.0, 0.0, 2.7701E-5
 5, 0, 1.3800000000000002E-5, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 2.91E-5
 5, 0, 9.600000000000001E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 2.01E-5
 5, 0, 1.0700000000000001E-5, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 8.01E-7, 0.0, 0.0, 0.0, 0.0, 2.29E-5
 5, 0, 8.1E-6, 4.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1010000000000001E-6, 0.0, 0.0, 0.0, 0.0, 2.8799E-5
 5, 0, 2.7099000000000003E-5, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 3.64E-5
 6, 0, 5.0E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 3.99E-7, 0.0, 0.0, 0.0, 0.0, 1.53E-5
 6, 0, 4.199E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 9.8E-6
 6, 0, 3.8E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 7.3E-6
 6, 0, 3.7E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 7.4E-6
